NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MUSICA_Id
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,8,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,9,,,,,
"TORNIZIELLO, Yvanise","TORNIZIELLO, Yvanise","2","",,,,,,9,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,10,,,,,
"ARAGÃO, Ana Maria F. S.","ARAGÃO, Ana Maria F. S.","1","",,,,,,11,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,,,,,11,,,,,
"CORREA, Dorothea Chagas","CORREA, Dorothea Chagas","3","",,,,,,11,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,12,,,,,
"CORREA, Dorothea Chagas","CORREA, Dorothea Chagas","2","",,,,,,12,,,,,
"SOUSA, Ana Lúcia N.","SOUSA, Ana Lúcia N.","3","",,,,,,12,,,,,
"Cleodiceles Branco Nogueira","NOGUEIRA, C. B.","1","",,,,,,13,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","10","",,,,,,13,,,,,
"Héber Olivetti","OLIVETTI, H.","2","",,,,,,13,,,,,
"Marília Aline Mattos de Andrade","ANDRADE, M. A. M.","3","",,,,,,13,,,,,
"Luana Madeira Lamas","LAMAS, L. M.","4","",,,,,,13,,,,,
"Natália Monti","MONTI, N.","5","",,,,,,13,,,,,
"Cristiane de Paula Milesi Polônio","POLONIO, C. P. M.","6","",,,,,,13,,,,,
"Maira Andriani Scarpellini","SCARPELLINI, M. A.","7","",,,,,,13,,,,,
"Miriam Helena Talavera Pinto da Silva","SILVA, M. H. T. P.","8","",,,,,,13,,,,,
"Osny de Oliveira Fonseca Júnior","FONSECA JUNIOR, O. O.","9","",,,,,,13,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,14,,,,,
"Leonardo Matricardi","MATRICARDI, L.","2","",,,,,,14,,,,,
"Tamya Moreira","MOREIRA, T.","3","",,,,,,14,,,,,
"Ronaldo do Prado Lima","LIMA, R. P.","4","",,,,,,14,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,15,,,,,
"Aci Taveira Meyer","MEYER, Aci Taveira","2","",,,,,,15,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,16,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,17,,,,,
"ARMELIATO, Edgar","ARMELIATO, Edgar","1","",,,,,,18,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,,,,,18,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,19,,,,,
"Suelen Turibio Lopes","LOPES, S. T.","2","",,,,,,19,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,20,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,21,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,22,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,,23,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,24,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,,25,,,,,
