NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id
"Mohammed Ally Peerbocus","PEERBOCUS, Mohammed Ally","1","",37,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",37,,,,,,,
"Agnes Voisard","VOISARD, A.","3","",37,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","4","",37,,,,,,,
"Bei Yi","YI, B.","1","",38,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",38,,,,,,,
"Renato Fileto","FILETO, Renato","1","6405951782839858",39,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",39,,,,,,,
"Ling Liu","LIU, Ling","3","",39,,,,,,,
"Calton Pu","PU, Calton","4","",39,,,,,,,
"Eduardo Delgado Assad","ASSAD, Eduardo Delgado","5","2634785138594199",39,,,,,,,
"Joao Guilherme de Souza Lima","LIMA, J. G. S.","1","",40,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",40,,,,,,,
"Eduardo Delgado Assad","ASSAD, Eduardo Delgado","3","2634785138594199",40,,,,,,,
"Luciano Antonio Digiampietri","DIGIAMPIETRI, Luciano Antonio","1","1689147340536405",41,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",41,,,,,,,
"Joao Carlos Setubal","SETUBAL, Joao Carlos","3","0527652166877006",41,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",42,,,,,,,
"Celmar Silva","SILVA, C.","2","5243256763404267",42,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",42,,,,,,,
"Heloisa V Rocha","ROCHA, Heloisa V","4","6985892121344767",42,,,,,,,
"Karla Borges","BORGES, Karla","1","5587095525537109",43,,,,,,,
"Alberto Henrique Frade Laender","LAENDER, Alberto Henrique Frade","2","9089204821424223",43,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",43,,,,,,,
"Altigran Soares da Silva","SILVA, Altigran Soares da","4","3405503472010994",43,,,,,,,
"Clodoveu Davis Jr","DAVIS JR, Clodoveu","5","0471595469074043",43,,,,,,,
"Lauro Ramos Venancio","VENANCIO, L. R.","1","5414335852996398",44,,,,,,,
"Renato Fileto","FILETO, Renato","2","6405951782839858",44,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",44,,,,,,,
"Eduardo Delgado Assad","ASSAD, Eduardo Delgado","4","2634785138594199",44,,,,,,,
"Evandro Bacarin","BACARIN, Evandro","1","1346756040555388",45,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",45,,,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","3","1870389730408675",45,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","1","1750385790843118",46,,,,,,,
"Juliano Schimiguel","SCHIMIGUEL, Juliano","2","0047384210554210",46,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",46,,,,,,,
"Paulo Sérgio Sampaio de Aragão","ARAGÃO, Paulo Sérgio Sampaio de","1","",47,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",47,,,,,,,
"André Santanchè","SANTANCHÈ, André","1","5121623021406209",48,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",48,,,,,,,
"Juliano Schimiguel","SCHIMIGUEL, Juliano","1","0047384210554210",49,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","1750385790843118",49,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",49,,,,,,,
"Luciano Antonio Digiampietri","DIGIAMPIETRI, Luciano Antonio","1","1689147340536405",50,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",50,,,,,,,
"Joao Carlos Setubal","SETUBAL, Joao Carlos","3","0527652166877006",50,,,,,,,
"André Santanchè","SANTANCHÈ, André","1","5121623021406209",51,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",51,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",52,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",52,,,,,,,
"Renata Dividino","DIVIDINO, Renata","3","",52,,,,,,,
"Mauricio Figueiredo","FIGUEIREDO, Mauricio","4","",52,,,,,,,
"Marcos André Gonçalves","GONÇALVES, Marcos André","5","3457219624656691",52,,,,,,,
"Edward A Fox","FOX, Edward A","6","",52,,,,,,,
"R Richardson","RICHARDSON, R","7","",52,,,,,,,
"André Santanchè","SANTANCHÈ, André","1","5121623021406209",53,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",53,,,,,,,
"Juliano Schimiguel","SCHIMIGUEL, Juliano","1","0047384210554210",54,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","1750385790843118",54,,,,,,,
"Carlos Alberto Cocozza Simoni","SIMONI, Carlos Alberto Cocozza","3","",54,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","4","4643608666899616",54,,,,,,,
"Renato Fileto","FILETO, Renato","1","6405951782839858",55,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",55,,,,,,,
"Ling Liu","LIU, Ling","3","",55,,,,,,,
"Calton Pu","PU, Calton","4","",55,,,,,,,
"Eduardo Delgado Assad","ASSAD, Eduardo Delgado","5","2634785138594199",55,,,,,,,
"Juliano Schimiguel","SCHIMIGUEL, Juliano","1","0047384210554210",56,,,,,,,
"Amanda Meincke Melo","MELO, Amanda Meincke","2","3659434826954635",56,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","3","1750385790843118",56,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","4","4643608666899616",56,,,,,,,
"Juliano Schimiguel","SCHIMIGUEL, Juliano","1","0047384210554210",57,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","1750385790843118",57,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",57,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",58,,,,,,,
"Laurent Steffan","STEFFAN, Laurent","10","",58,,,,,,,
"Olivier Carles","CARLES, Olivier","2","",58,,,,,,,
"Florian Devuyst","DEVUYST, Florian","3","",58,,,,,,,
"Bernard Hugueney","HUGUENEY, Bernard","4","",58,,,,,,,
"Marc Joliveau","JOLIVEAU, Marc","5","",58,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","6","",58,,,,,,,
"Maude Manouvrier","MANOUVRIER, Maude","7","",58,,,,,,,
"Yosr Naija","NAIJA, Yosr","8","",58,,,,,,,
"Georges Semama","SEMAMA, Georges","9","",58,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",59,,,,,,,
"Liliana Kasumi Sasaoka","SASAOKA, Liliana Kasumi","2","",59,,,,,,,
"Jaudete Daltio","DALTIO, Jaudete","1","7771072815395107",60,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",60,,,,,,,
"Luciano Antonio Digiampietri","DIGIAMPIETRI, Luciano Antonio","1","1689147340536405",61,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",61,,,,,,,
"Andreia Akemi Kondo","KONDO, Andreia Akemi","1","4440355543766855",62,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",62,,,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","3","1870389730408675",62,,,,,,,
"Evandro Bacarin","BACARIN, Evandro","4","1346756040555388",62,,,,,,,
"Jaudete Daltio","DALTIO, Jaudete","1","7771072815395107",63,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",63,,,,,,,
"Leonardo Elias Mariote","Mariote, Leonardo E.","1","",64,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",64,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","3","3790201696145434",64,,,,,,,
"Karla Borges","BORGES, Karla","1","5587095525537109",65,,,,,,,
"Alberto Henrique Frade Laender","LAENDER, Alberto Henrique Frade","2","9089204821424223",65,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",65,,,,,,,
"Clodoveu Davis Jr","DAVIS JR, Clodoveu","4","0471595469074043",65,,,,,,,
"Luiz Celso Gomes Jr","GOMES JR, Luiz Celso","1","",66,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",66,,,,,,,
"Evandro Bacarin","BACARIN, Evandro","1","1346756040555388",67,,,,,,,
"Wil van der Aalst","van der AALST, W.","2","",67,,,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","3","1870389730408675",67,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","4","4643608666899616",67,,,,,,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",68,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",68,,,,,,,
"André Santanchè","SANTANCHÈ, André","3","5121623021406209",68,,,,,,,
"Luciano Antonio Digiampietri","DIGIAMPIETRI, Luciano Antonio","1","1689147340536405",69,,,,,,,
"Jose Perez-Alcazar","PEREZ-ALCAZAR, Jose","2","",69,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",69,,,,,,,
"Luciano Antonio Digiampietri","DIGIAMPIETRI, Luciano Antonio","1","1689147340536405",70,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",70,,,,,,,
"Joao Carlos Setubal","SETUBAL, Joao Carlos","3","0527652166877006",70,,,,,,,
"Roger S. Barga","BARGA, R. S.","4","",70,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",71,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","2","",71,,,,,,,
"Lincoln Cesar Medina de Oliveira","OLIVEIRA, L. C. M. DE","1","",72,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",72,,,,,,,
"Fatima Pires","PIRES, F.","1","",73,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",73,,,,,,,
"ardemiro barros","BARROS, A.","3","",73,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",74,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","2","",74,,,,,,,
"Wojciech Cellary","CELLARY, W.","3","",74,,,,,,,
"Fatima Pires","PIRES, F.","1","",75,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",75,,,,,,,
"Carla Geovana do Nascimento Macario","MACARIO, C. G. N.","1","6366851588892304",76,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",76,,,,,,,
"Rodrigo Dias Arruda Senra","SENRA, R. D. A. (Rodrigo Dias Arruda Senra)","3","7090242977728088",76,,,,,,,
"Marcia Jacobina Andrade","ANDRADE, M. J.","1","",77,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",77,,,,,,,
"Marcia Jacobina Andrade","ANDRADE, M. J.","1","",78,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",78,,,,,,,
"Jean Claude Mamou","MAMOU, J. C.","1","",79,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",79,,,,,,,
"Patrick Pfeffer","PFEFFER, P.","1","",80,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",80,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",81,,,,,,,
"Patrick Pfeffer","PFEFFER, P.","2","",81,,,,,,,
"Jaudete Daltio","DALTIO, Jaudete","1","7771072815395107",82,,,,,,,
"Luiz Celso Gomes Jr","GOMES JR, Luiz Celso","2","",82,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",82,,,,,,,
"Thomas Michael Lewinsohn","LEWINSOHN, Thomas Michael","4","1295138272121222",82,,,,,,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",83,,,,,,,
"Luiz Celso Gomes Jr","GOMES JR, Luiz Celso","2","",83,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",83,,,,,,,
"Alan Massaru Nakai","NAKAI, A. M.","1","1298280623566262",84,,,,,,,
"Carla Geovana do Nascimento Macario","MACARIO, C. G. N.","2","6366851588892304",84,,,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","3","1870389730408675",84,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","4","4643608666899616",84,,,,,,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",85,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",85,,,,,,,
"André Santanchè","SANTANCHÈ, André","3","5121623021406209",85,,,,,,,
"Marc Joliveau","JOLIVEAU, Marc","1","",86,,,,,,,
"Florian Devuyst","DEVUYST, Florian","2","",86,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","3","",86,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","4","4643608666899616",86,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",87,,,,,,,
"Jean Claude Mamou","MAMOU, J. C.","2","",87,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",88,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",89,,,,,,,
"Marc Joliveau","JOLIVEAU, Marc","2","",89,,,,,,,
"Genevieve Jomier","JOMIER, Genevieve","3","",89,,,,,,,
"Florian Devuyst","DEVUYST, Florian","4","",89,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",90,,,,,,,
"Liliane Leopoldina de Oliveira","OLIVEIRA, L. L. DE","2","",90,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",91,,,,,,,
"Carlos Miguel Tobar Toledo","TOLEDO, C. M. T.","1","8739270635701288",92,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",92,,,,,,,
"Carlos Miguel Tobar Toledo","TOLEDO, C. M. T.","1","8739270635701288",93,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",93,,,,,,,
"Monica de Lima Nogueira","NOGUEIRA, M. DE L.","1","",94,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",94,,,,,,,
"Henrique Nou Schneider","SCHNEIDER, H. N.","1","0598828216648683",95,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",95,,,,,,,
"Silvia Maria Fortuna Mendes de Souza","SOUZA, S. M. F. M. DE","1","",96,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",96,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",97,,,,,,,
"Luiz Iaderoza","IADEROZA, L.","1","",98,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",98,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",99,,,,,,,
"Charles Francis Wagner","WAGNER, C. F.","2","",99,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",100,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",101,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",102,,,,,,,
"F. W. TOMPA","TOMPA, F. W.","2","",102,,,,,,,
"Carla Geovana do Nascimento Macario","MACARIO, C. G. N.","1","6366851588892304",103,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","10","1750385790843118",103,,,,,,,
"Neucimar Jeronimo Leite","LEITE, N. J.","11","8647239680081745",103,,,,,,,
"Rodrigo Dias Arruda Senra","SENRA, R. D. A. (Rodrigo Dias Arruda Senra)","2","7090242977728088",103,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",103,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","4","3790201696145434",103,,,,,,,
"Rubens Augusto Camargo Lamparelli","LAMPARELLI, Rubens Augusto Camargo","5","",103,,,,,,,
"Jurandir Zullo Jr","ZULLO JR, Jurandir","6","",103,,,,,,,
"Jansle Vieira Rocha","ROCHA, Jansle Vieira","7","2810994603993810",103,,,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","8","1870389730408675",103,,,,,,,
"Eliane Martins","MARTINS, Eliane","9","7628786577802962",103,,,,,,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",104,,,,,,,
"Rodrigo Dias Arruda Senra","SENRA, R. D. A. (Rodrigo Dias Arruda Senra)","2","7090242977728088",104,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",104,,,,,,,
"Gilberto Zonta Pastorello Jr","PASTORELLO JR, Gilberto Zonta","1","1941848965066045",105,,,,,,,
"Jaudete Daltio","DALTIO, Jaudete","2","7771072815395107",105,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",105,,,,,,,
"Maurício Augusto Figueiredo","FIGUEIREDO, M. A.","1","",106,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",106,,,,,,,
"Carla Geovana do Nascimento Macario","MACARIO, C. G. N.","1","6366851588892304",107,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",107,,,,,,,
"Bruno Siqueira Campos Mendonça Vilar","VILAR, B. S. C. M.","1","9481958972690597",108,,,,,,,
"Joana Esther Gonzales Malaverri","MALAVERRI, J. E. G.","2","5567251262991031",108,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",108,,,,,,,
"Carla Geovana do Nascimento Macario","MACARIO, C. G. N.","1","6366851588892304",109,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",109,,,,,,,
"Rodrigo Dias Arruda Senra","SENRA, R. D. A. (Rodrigo Dias Arruda Senra)","1","7090242977728088",110,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",110,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",111,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",111,,,,,,,
"Alexandre Xavier Falcao","FALCAO, Alexandre Xavier","3","",111,,,,,,,
"Juliano Schimiguel","SCHIMIGUEL, Juliano","1","0047384210554210",112,,,,,,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, Maria Cecilia Calani","2","1750385790843118",112,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",112,,,,,,,
"Bruno Siqueira Campos Mendonça Vilar","VILAR, B. S. C. M.","1","9481958972690597",113,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",113,,,,,,,
"Evandro Baccarin","BACCARIN, E.","1","1346756040555388",114,,,,,,,
"Edmundo Roberto Mauro Madeira","MADEIRA, Edmundo Roberto Mauro","2","1870389730408675",114,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",114,,,,,,,
"Carla Geovana do Nascimento Macario","MACARIO, C. G. N.","1","6366851588892304",115,,,,,,,
"Sidney Roberto de Souza","SOUZA, S. R.","2","",115,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",115,,,,,,,
"Sidney Roberto de Souza","SOUZA, S. R.","1","",116,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",116,,,,,,,
"Carla Geovana do Nascimento Macario","MACARIO, C. G. N.","1","6366851588892304",117,,,,,,,
"Jefersson Alex dos Santos","SANTOS, J. A. (Jefersson Alex dos Santos)","2","2171782600728348",117,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","3","4643608666899616",117,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","4","3790201696145434",117,,,,,,,
"Rodrigo Dias Arruda Senra","SENRA, R. D. A. (Rodrigo Dias Arruda Senra)","1","7090242977728088",118,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","2","4643608666899616",118,,,,,,,
"Claudia Maria Bauzer Medeiros","MEDEIROS, C. M. B.;Medeiros, Claudia Bauzer;MEDEIROS, C. B.","1","4643608666899616",119,,,,,,,
"Peter Baumann","Baumann, P.","2","",119,,,,,,,
"Constantin Jucovschi","Jucovschi, C.","3","",119,,,,,,,
