NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id
"SINICATO, NAILÚ ANGÉLICA","SINICATO, NAILÚ ANGÉLICA","1","",,10,,,,,,,,,,,
"Postal, Mariana","Postal, Mariana","2","",,10,,,,,,,,,,,
"DE OLIVEIRA PELIÇARI, KARINA","DE OLIVEIRA PELIÇARI, KARINA","3","",,10,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","4","",,10,,,,,,,,,,,
"Roberto Marini","MARINI, Roberto","5","",,10,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","6","6960131838271951",,10,,,,,,,,,,,
"SOUZA, ROBERTO","SOUZA, ROBERTO","1","0692029921953122",,11,,,,,,,,,,,
"LUCENA, OESLLE","LUCENA, OESLLE","2","",,11,,,,,,,,,,,
"GARRAFA, JULIA","GARRAFA, JULIA","3","",,11,,,,,,,,,,,
"GOBBI, DAVID","GOBBI, DAVID","4","",,11,,,,,,,,,,,
"SALUZZI, MARINA","SALUZZI, MARINA","5","",,11,,,,,,,,,,,
"Appenzeller, Simone","Appenzeller, Simone","6","6960131838271951",,11,,,,,,,,,,,
"Leticia Rittner","RITTNER, LETÍCIA","7","",,11,,,,,,,,,,,
"FRAYNE, RICHARD","FRAYNE, RICHARD","8","",,11,,,,,,,,,,,
"Lotufo, Roberto","Lotufo, Roberto","9","9224426261471914",,11,,,,,,,,,,,
"DOMINGUES, J.","DOMINGUES, J.","1","",,12,,,,,,,,,,,
"FRANÇA, M.","FRANÇA, M.","10","",,12,,,,,,,,,,,
"TAVARES, P.","TAVARES, P.","2","",,12,,,,,,,,,,,
"SOUZA, L.","SOUZA, L.","3","",,12,,,,,,,,,,,
"REZENDE, T.","REZENDE, T.","4","",,12,,,,,,,,,,,
"CASSEB, R.","CASSEB, R.","5","",,12,,,,,,,,,,,
"MARTINEZ, A.","MARTINEZ, A.","6","",,12,,,,,,,,,,,
"Leticia Rittner","RITTNER, L.","7","",,12,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S.","8","6960131838271951",,12,,,,,,,,,,,
"NUCCI, A.","NUCCI, A.","9","",,12,,,,,,,,,,,
"COVER, GIOVANA","COVER, GIOVANA","1","",,13,,,,,,,,,,,
"PEREIRA, MARIANA","PEREIRA, MARIANA","2","",,13,,,,,,,,,,,
"Bento, Mariana","Bento, Mariana","3","",,13,,,,,,,,,,,
"APPENZELER, SIMONE","APPENZELER, SIMONE","4","",,13,,,,,,,,,,,
"Leticia Rittner","Rittner, Leticia","5","",,13,,,,,,,,,,,
"POSTAL, M","POSTAL, M","1","",,14,,,,,,,,,,,
"LAPA, A TAMIRES","LAPA, A TAMIRES","2","",,14,,,,,,,,,,,
"Fabiano Reis","Reis, F","3","",,14,,,,,,,,,,,
"Leticia Rittner","RITTNER, L","4","",,14,,,,,,,,,,,
"Simone Appenzeller","APPENZELLER, S","5","",,14,,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","1","",,,0,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, R.","2","9224426261471914",,,0,,,,,,,,,,
"Pedro","FREITAS, P.F.","1","1621073543117959",,,1,,,,,,,,,,
"Leticia Rittner","RITTNER, Leticia","2","",,,1,,,,,,,,,,
